Type_of_Security,coef_source,n_obs,min_obs_threshold,beta_0,beta_spread,beta_spread2,beta_loan_age,beta_log_upb,w_scale_median_raw_upb,w_scaled_min,w_scaled_max,mean_loan_age,mean_log_UPB,mean_smm_hat,mean_cpr_hat,mean_cpr_hat_pct
30yr TBA Eligible,group_specific,87730,1000,-2.455919930206891,2.9996234250837923,-3.624300556135702,-0.0041127441080657115,-0.21737302454893728,6171298914.56,0.08115074698106829,78.18518058495494,35.45900176925206,25.0124174421496,0.0006884050353466147,0.008225880085561292,0.8225880085561292
15yr TBA Eligible,group_specific,46150,1000,-2.3369546358619058,2.327610815277528,-2.783560202145887,-0.0019301134892354935,-0.2571340327374966,3605425169.13,0.13874583260057202,21.011891532820343,36.90308547649448,23.530652401077276,0.0004522827765058729,0.005412880881505088,0.5412880881505089
20yr TBA Eligible,group_specific,31747,1000,-2.7955471711940127,10.188016480895348,-8.010593363746063,-0.004673475530196176,-0.3584872685858029,1767477282.36,0.28378068273119617,19.660601392291156,35.710014130703335,22.60013452802973,0.000495609215386438,0.005928870271489867,0.5928870271489867
ARM,group_specific,15602,1000,-7.859137931233204,7.690555861807008,-6.195237441841308,0.004029774848187511,-0.08295004926153979,1001240783.11,0.49946016366480683,5.27537564027664,49.4276954469022,21.19688345590162,0.0009076453320166293,0.010834775642829478,1.0834775642829477
Super-Conforming > 15yr,group_specific,15259,1000,6.5552038174314555,8.416926239478743,-6.31904119471144,-0.012847431022473743,-0.7333046688598608,1617466621.27,0.3092431411519709,16.7693290374938,23.769554629348377,22.712733117124507,0.0010722141612673956,0.012759827547298536,1.2759827547298535
Other Fixed-Rate > 15yr,group_specific,10955,1000,-7.42656100906062,1.4900801589917532,-2.720552322036388,0.00182127922192821,-0.01001336077670445,1173788296.78,0.4261842508587906,7.604336040320015,92.4098089058409,21.844189163215475,0.0005820784338569121,0.006962298467051448,0.696229846705145
RPL,group_specific,5695,1000,-0.7852001564111384,1.8203647915276537,-3.4786413472927964,0.0016292388036561098,-0.3528681176493715,773287102.62,0.647735680684357,2.0993838966143548,92.15703441165748,20.596714569183504,0.00046132336195739545,0.005521457107663607,0.5521457107663608
10yr TBA Eligible,group_specific,2330,1000,-47.265963458299325,103.8567445851795,-64.83266618955656,-0.05781640880198151,-0.08259992248327554,1208996809.83,0.4288218610377473,5.191295957854943,11.135065081507841,21.723224529062442,0.0001921391579426162,0.0023025953599664453,0.2302595359966445
Other Fixed-Rate <= 15yr,pooled_fallback,295,1000,-5.782616142184911,2.8825846003581765,-3.2246615557608034,0.00012465902434489874,-0.10031054325342864,591139660.31,0.8626877504421998,1.1566555265999863,84.71220574981088,20.20377534119574,0.0007602081305852503,0.00908444736057594,0.9084447360575939
