level,Type_of_Security,nobs,rmse,mae,upb_weighted_rmse,upb_weighted_mae
overall,ALL,56706,0.00030225831408513314,0.00021043320512074441,0.0002148209754659501,0.00015228779244697333
security_type,15yr TBA Eligible,15844,0.00024680664324323675,0.0001784789440934149,0.00018817861474674705,0.00013901510144709967
security_type,20yr TBA Eligible,10174,0.00038728440216492685,0.0002681847877087097,0.00025570568946254517,0.00017377808962068048
security_type,30yr TBA Eligible,30688,0.0002960441070478832,0.00020778457081635997,0.00021652669012433087,0.00015331984629542373
