level,Type_of_Security,n_obs,RMSE,MAE,UPB-weighted RMSE,UPB-weighted MAE
overall,ALL,56706,0.00042293904292918505,0.00028200251692279927,0.00027419387271081187,0.00021944410976194555
security_type,15yr TBA Eligible,15844,0.0002633443556143725,0.00019890917660368983,0.00024117094305835154,0.00020579766488217037
security_type,20yr TBA Eligible,10174,0.00036904454343080254,0.0002789225761967483,0.0003839275084188486,0.00032954279273206396
security_type,30yr TBA Eligible,30688,0.0004995762651342017,0.0003259241214901485,0.00027224348088055594,0.00021579767166150435
