role,model,P_base,P_plus_50bp,P_minus_50bp,effective_duration
Baseline,C,104.10793027252473,101.38187160243827,110.18016998657694,8.451131783243843
Improved,B,104.70841809101383,101.96170694502352,109.01488798994701,6.736021012935923
