month,cf_down,cf_base,cf_up
1,1.267796869926717,2.6341198653791484,6.574222962228531
2,1.3138253654069152,2.734442233598643,6.555149626876624
3,1.3489535030337776,2.793064396757301,6.373362136647608
4,1.3483754487067894,2.740146343260032,5.8777565239102945
5,1.369781504803369,2.7444248714268937,5.532365976651629
6,1.3725794288274025,2.6972657034965035,5.110533521462478
7,1.4117769411080299,2.7375441144875223,4.861805043282411
8,1.428395554133633,2.704705824699789,4.4554845578586475
9,1.472995114439852,2.7362938197287767,4.205823188554747
10,1.4484317355403746,2.6136987785604058,3.7803900733432183
11,1.4716021038042153,2.5691701072350748,3.4352890703248726
12,1.4962113084936903,2.505138699862862,3.0856642240021004
13,1.4960316696160973,2.4318707950276415,2.802888326476736
14,1.508663361413336,2.3785231426559355,2.5626486199427103
15,1.4898735330349515,2.257664263316501,2.286741377080653
16,1.4756109210369193,2.151767791343384,2.074632706130333
17,1.407614279516254,1.987217675861809,1.8585683521376994
18,1.3707444250243463,1.8672154158909942,1.685910104342932
19,1.3432662263306048,1.7717876814406222,1.5375903498013297
20,1.307566597882023,1.6762173653541486,1.4145834345957589
21,1.3093835549522541,1.6880257975686384,1.4288527482522289
22,1.328400083737338,1.6721486435199344,1.3499885894601213
23,1.3893546375636128,1.6859916505697852,1.2777461474906906
24,1.3884727935781798,1.6432583923263107,1.180897749439842
25,1.3625105330128642,1.5386265890106379,1.0735484715238672
26,1.2759500175951017,1.438922437553022,0.984230333209063
27,1.2669034487978177,1.382887060093477,0.9162612324740382
28,1.2254472637846945,1.3304907608760588,0.8672215509082819
29,1.2414469044676422,1.3301122829966614,0.8359393369823981
30,1.2145412149057457,1.2710016183673247,0.8105220071001026
31,1.2241230512040557,1.2331758331930922,0.7644118552256274
32,1.1875022790711662,1.1677863294930182,0.7249309337235088
33,1.1482265116180173,1.0964749915523897,0.6825883121911962
34,1.1103031471574523,1.0706245297836863,0.6846008609314089
35,1.0802688166355352,1.0355756680762218,0.6583779276271458
36,1.0647199569078798,1.0094574320053544,0.6135660615698968
37,1.0425020764880388,0.9645674435310192,0.5592343798662432
38,0.9976902176807333,0.9051105928760695,0.5189999426898675
39,0.9769109043804637,0.8836480679686339,0.49610324117809074
40,0.9754884036852517,0.854996119092403,0.46402571080621857
41,0.944168120572312,0.8007562174847681,0.4292728187519045
42,0.9072389426904933,0.7701969092114267,0.41989978163030234
43,0.8950973873843178,0.7557540461644812,0.4133008974986616
44,0.8953409152924231,0.7459572479954278,0.4032696311158196
45,0.8801036656892307,0.7424955640437775,0.40032303210239545
46,0.8796306545935569,0.7479565151620002,0.39864653807725675
47,0.8288635727147784,0.7172916051257849,0.3853369741130931
48,0.8262506768755901,0.7233925435386886,0.38247555866188176
49,0.810699102217811,0.7062595724317853,0.37075317226005
50,0.8042783430403759,0.678383726373025,0.33938088897486357
51,0.797097706692017,0.6634829762892963,0.3407940294026394
52,0.7862872562666576,0.665471159114442,0.33938122347152416
53,0.7777784756204404,0.6485555932305117,0.32505019860289336
54,0.7385167164261642,0.5938628258035721,0.286082815301292
55,0.7126719225891627,0.5723258355852039,0.2721064693263406
56,0.7176703419850132,0.5795822580171626,0.27194198739117875
57,0.7129508002971863,0.5671828763373584,0.2551896236808371
58,0.7021302132418714,0.5555847855095832,0.24811006405564184
59,0.7155716600285396,0.5660343525379102,0.2580505401436945
60,0.7112643275463556,0.5474203961911018,0.2504139707785695
61,0.7294148295314926,0.5581262651953753,0.2407775154930407
62,0.7075769619585214,0.5282766979972098,0.23125182980964956
63,0.6757833157386345,0.5086701621828721,0.23258068830525683
64,0.707408340352715,0.5299976626404764,0.24114763738691583
65,0.7070470902778891,0.5148511244864364,0.228125363778942
66,0.713426494635222,0.5087125942679965,0.2176920768102872
67,0.7199914314157688,0.5139830807102915,0.224794393869376
68,0.6786797624874226,0.49538168374010333,0.22505795647043722
69,0.6878273363680133,0.4989258921366421,0.22942083807566627
70,0.7082991433112691,0.5003241639253312,0.2253004245203615
71,0.6793978374474838,0.48887034016509706,0.22129644709971194
72,0.6965959661986524,0.49728919330026294,0.22508920125643098
73,0.6870870981573506,0.4884469693199008,0.2151025435838335
74,0.665616957368513,0.47240175713823457,0.20372814127162822
75,0.6558400270375051,0.4686409906403809,0.20770033940630928
76,0.6393999695237883,0.455711128884772,0.2000204506870404
77,0.6393533558373113,0.45244631405620606,0.19598895334551217
78,0.6188633546884909,0.4244408105024159,0.18129625472271604
79,0.6140801166788726,0.41782377688021505,0.17448717127773397
80,0.6032044652120567,0.41079399067046923,0.168606751176967
81,0.5952979849630967,0.4094295490915828,0.16834941239488557
82,0.5930626191917643,0.39313621854022895,0.1515650286723697
83,0.5833740707481996,0.3913599493025844,0.15726940016609306
84,0.5899899615220547,0.3937342633190337,0.14981799953995045
85,0.5896802640014608,0.3957316790341162,0.14352556939418384
86,0.5826581746652925,0.38577150741317623,0.13685808120280094
87,0.5859454849965304,0.3851335355336983,0.1320621542720574
88,0.5850978288494834,0.3797033243785144,0.12585648676247424
89,0.5768570163398704,0.36918283555650705,0.12241381909371521
90,0.599774962133119,0.3900000342530617,0.13131432037855387
91,0.5921151426753156,0.37432736249117815,0.12521592946108653
92,0.6006237726531758,0.37000346283633867,0.11397817938778027
93,0.6072495558799927,0.36380412787009836,0.10883150566296945
94,0.5762616992303745,0.34695021070520093,0.10695506160652878
95,0.5580125160407919,0.33271745004059916,0.10140424474731612
96,0.5249213378222669,0.3119703130285881,0.09286337239298664
97,0.5146212323711339,0.30923830378640593,0.09477968900863601
98,0.5060214468941223,0.29541189390875194,0.09130008366126405
99,0.49817195298762773,0.29478805700362043,0.09489880876428577
100,0.4956612152348459,0.2842356863971155,0.08901373531263851
