yield_pct,market_rate_pct,price_mbs,price_bond_no_prepay
-2.0,3.0,133.1935393287841,139.0507781478518
-1.9,3.1,131.1334955446369,137.2883315739754
-1.7999999999999998,3.2,129.1074281224408,135.55805930178917
-1.6999999999999997,3.3000000000000003,127.11791156800587,133.85927760925824
-1.5999999999999996,3.4000000000000004,125.1680153420887,132.1913185645888
-1.4999999999999996,3.5000000000000004,123.26131199504573,130.5535296418226
-1.3999999999999995,3.6000000000000005,121.40187007632434,128.94527334618164
-1.2999999999999994,3.7000000000000006,119.59422764420525,127.36592684879646
-1.1999999999999993,3.8000000000000007,117.84334208784156,125.81488163073283
-1.0999999999999992,3.900000000000001,116.15451221116723,124.29154313591272
-0.9999999999999991,4.000000000000001,114.53326925629602,122.79533043279717
-0.899999999999999,4.100000000000001,112.98523490196442,121.32567588461308
-0.7999999999999989,4.200000000000001,111.51594637679099,119.88202482781358
-0.6999999999999988,4.300000000000001,110.13065173265106,118.46383525867797
-0.5999999999999988,4.400000000000001,108.83408197568087,117.07057752771018
-0.49999999999999867,4.500000000000002,107.63021093583822,115.7017340417852
-0.3999999999999986,4.600000000000001,106.52201804584823,114.3567989736737
-0.2999999999999985,4.700000000000001,105.51127294573625,113.03527797892569
-0.1999999999999984,4.800000000000002,104.59836318167048,111.7366879197693
-0.09999999999999831,4.900000000000002,103.78218629351909,110.46055659597464
1.7763568394002505e-15,5.000000000000002,103.0601244625757,109.20642248240291
0.10000000000000187,5.100000000000001,102.42811319125613,107.97383447311641
0.20000000000000195,5.200000000000002,101.88080547652663,106.76235163190356
0.30000000000000204,5.3000000000000025,101.41182079990367,105.5715429489749
0.40000000000000213,5.400000000000002,101.0140560856996,104.40098710377715
0.5000000000000022,5.500000000000002,100.6800262502536,103.250272233653
0.6000000000000023,5.600000000000002,100.40219763908084,102.11899570832091
0.7000000000000024,5.700000000000003,100.17328007940054,101.0067639098897
0.8000000000000025,5.8000000000000025,99.98645225181949,99.91319201840864
0.9000000000000026,5.900000000000002,99.83550841838553,98.83790380267799
1.0000000000000027,6.000000000000003,99.71492865688296,97.7805314162931
1.1000000000000028,6.100000000000003,99.61988594299947,96.74071519870833
1.2000000000000028,6.200000000000003,99.54620927440895,95.7181034812594
1.300000000000003,6.3000000000000025,99.49032222827469,94.71235239795377
1.400000000000003,6.400000000000003,99.44917237813391,93.72312570095059
1.500000000000003,6.5000000000000036,99.42016217746568,92.75009458061265
1.6000000000000032,6.600000000000003,99.4010851426128,91.79293748996501
1.7000000000000033,6.700000000000003,99.39007043258405,90.85133997353041
1.8000000000000034,6.800000000000003,99.38553498047564,89.92499450032396
1.9000000000000035,6.900000000000004,99.38614219451195,89.01360030101883
2.0000000000000036,7.0000000000000036,99.39076680158533,88.11686320906287
