month,beg_balance,interest,scheduled_principal,prepay_principal,total_principal,total_cashflow,end_balance
1,1.0,0.004166666666666667,0.002709066036795927,0.00010565170658171082,0.0028147177433776377,0.006981384410044304,0.9971852822566224
2,0.9971852822566224,0.00415493867606926,0.0027207940273933336,0.00017497222466625404,0.0028957662520595878,0.007050704928128848,0.9942895160045628
3,0.9942895160045628,0.004142872983352345,0.002732859720110248,0.0002659459720172268,0.002998805692127475,0.00714167867547982,0.9912907103124353
4,0.9912907103124353,0.004130377959635147,0.002745354743827447,0.0003384047203662309,0.0030837594641936776,0.007214137423828824,0.9882069508482416
5,0.9882069508482416,0.004117528961867674,0.00275820374159492,0.00044744164547030825,0.003205645387065228,0.007323174348932902,0.9850013054611764
6,0.9850013054611764,0.004104172106088235,0.0027715605973743585,0.0003878086783913065,0.003159369275765665,0.0072635413818539,0.9818419361854107
7,0.9818419361854107,0.0040910080674392115,0.002784724636023382,0.00045723086258059244,0.0032419554986039744,0.007332963566043186,0.9785999806868068
8,0.9785999806868068,0.0040774999195283615,0.002798232783934232,0.0005048195579659493,0.0033030523419001812,0.007380552261428542,0.9752969283449066
9,0.9752969283449066,0.0040637372014371105,0.002811995502025483,0.0004946252146011596,0.0033066207166266427,0.007370357918063753,0.9719903076282799
10,0.9719903076282799,0.004049959615117833,0.0028257730883447605,0.0005273991351868844,0.0033531722235316448,0.007403131838649478,0.9686371354047483
11,0.9686371354047483,0.004035988064186451,0.0028397446392761424,0.0005417214251290358,0.0033814660644051783,0.007417454128591629,0.9652556693403431
12,0.9652556693403431,0.0040218986222514295,0.002853834081211164,0.0005448873639758431,0.0033987214451870074,0.007420620067438437,0.9618569478951561
13,0.9618569478951561,0.004007737282896484,0.0028679954205661096,0.0006233402927498047,0.003491335713315914,0.007499072996212398,0.9583656121818401
14,0.9583656121818401,0.003993190050757667,0.0028825426527049267,0.0005818169342534816,0.0034643595869584083,0.007457549637716075,0.9549012525948817
15,0.9549012525948817,0.00397875521914534,0.002896977484317253,0.0005099864877745269,0.00340696397209178,0.0073857191912371205,0.95149428862279
16,0.95149428862279,0.003964559535928292,0.002911173167534302,0.00036393176753844514,0.003275104935072747,0.007239664471001038,0.9482191836877172
17,0.9482191836877172,0.003950913265365489,0.002924819438097105,0.00035860148148925976,0.003283420919586365,0.0072343341849518536,0.9449357627681308
18,0.9449357627681308,0.003937232344867212,0.002938500358595382,0.00028291164343961946,0.0032214120020350014,0.007158644346902213,0.9417143507660959
19,0.9417143507660959,0.003923809794858733,0.0029519229086038606,0.0003297264822817135,0.003281649390885574,0.007205459185744307,0.9384327013752103
20,0.9384327013752103,0.003910136255730043,0.0029655964477325507,0.0002913662434397252,0.003256962691172276,0.007167098946902319,0.935175738684038
21,0.935175738684038,0.003896565577850158,0.0029791671256124354,0.00048465153135495315,0.0034638186569673885,0.007360384234817547,0.9317119200270706
22,0.9317119200270706,0.003882133000112794,0.0029935997033497994,0.0005170652042648878,0.003510664907614687,0.007392797907727481,0.928201255119456
23,0.928201255119456,0.0038675052296643997,0.003008227473798194,0.0004732891005338781,0.003481516574332072,0.007349021803996472,0.9247197385451239
24,0.9247197385451239,0.003852998910604683,0.0030227337928579105,0.00047076087345816314,0.0034934946663160737,0.007346493576920757,0.9212262438788078
25,0.9212262438788078,0.003838442682828366,0.0030372900206342276,0.00043440531170105886,0.0034716953323352864,0.007310138015163652,0.9177545485464725
26,0.9177545485464725,0.003823977285610302,0.0030517554178522916,0.00039917303203361313,0.003450928449885905,0.007274905735496207,0.9143036200965866
27,0.9143036200965866,0.003809598417069111,0.0030661342863934826,0.000340685678922665,0.0034068199653161475,0.0072164183823852585,0.9108968001312705
28,0.9108968001312705,0.0037954033338802938,0.0030803293695823,0.00025436296735836523,0.003334692336940665,0.007130095670820959,0.9075621077943299
29,0.9075621077943299,0.0037815087824763743,0.0030942239209862193,0.00037103397049763776,0.003465257891483857,0.007246766673960231,0.904096849902846
30,0.904096849902846,0.003767070207928525,0.0031086624955340685,0.00035520845052022966,0.0034638709460542982,0.007230941153982823,0.9006329789567917
31,0.9006329789567917,0.0037526374123199656,0.003123095291142628,0.0003242070634750187,0.0034473023546176466,0.007199939766937612,0.8971856766021741
32,0.8971856766021741,0.003738273652509059,0.003137459050953535,0.0005256566807953176,0.0036631157317488523,0.0074013893842579115,0.8935225608704253
