level,Type_of_Security,nobs,rmse,mae,upb_weighted_rmse,upb_weighted_mae
overall,ALL,56706,0.00042282797375189804,0.0002819913657575903,0.00027428920182853055,0.00021956995365068923
security_type,15yr TBA Eligible,15844,0.0002633470107697875,0.0001989136404963048,0.0002411890736744593,0.00020581500869060342
security_type,20yr TBA Eligible,10174,0.00036907454740368363,0.00027895343355997094,0.0003840237317616948,0.00032962881776775493
security_type,30yr TBA Eligible,30688,0.0004993944317118719,0.0003258909812821727,0.00027235050985262207,0.00021594347974949012
