Type_of_Security,spread,predicted_cpr_mean,dCPR_dspread
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.342,0.2522119457942209,
15yr TBA Eligible,-1.3018987341772155,0.24412772013131925,-0.1717994878279514
15yr TBA Eligible,-1.2303101265822787,0.23563672577323266,-0.07606141363200747
15yr TBA Eligible,-1.1587215189873419,0.23323745874408336,-0.00033634922596759154
15yr TBA Eligible,-1.087132911392405,0.23558856822772734,0.05893086797742475
15yr TBA Eligible,-1.0155443037974683,0.2416750163098131,0.10545477230608391
15yr TBA Eligible,-0.943955696202532,0.2506872888549946,0.1416075513151287
15yr TBA Eligible,-0.8723670886075952,0.26194999115697026,0.16898802674980384
15yr TBA Eligible,-0.8007784810126584,0.27488252392546336,0.1887900513493228
15yr TBA Eligible,-0.7291898734177216,0.28898042496471954,0.2020355859438523
15yr TBA Eligible,-0.6576012658227848,0.30380941649015847,0.20971191618703688
15yr TBA Eligible,-0.586012658227848,0.31900639311651163,0.21283928994249512
15yr TBA Eligible,-0.5144240506329116,0.3342831533071149,0.21248866236889352
15yr TBA Eligible,-0.44283544303797484,0.349429928053911,0.2097656796195695
15yr TBA Eligible,-0.37124683544303805,0.36431681915745606,0.20577452895488335
15yr TBA Eligible,-0.29965822784810126,0.3788921520666792,0.2015728694039689
15yr TBA Eligible,-0.22806962025316446,0.3931774612565484,0.19812642615449194
15yr TBA Eligible,-0.1564810126582281,0.40725934201900144,0.19626905856896748
15yr TBA Eligible,-0.08489240506329132,0.4212787184903913,0.1966714430630736
15yr TBA Eligible,-0.013303797468354528,0.43541821154414606,0.19981921941900627
15yr TBA Eligible,0.058284810126582265,0.44988827786821894,0.20599974057404324
15yr TBA Eligible,0.12987341772151906,0.46491268072937403,0.215295549665663
15yr TBA Eligible,0.20146202531645585,0.4807136951121217,0.22758239222759746
15yr TBA Eligible,0.2730506329113922,0.49749729387477093,0.24252988443566137
15yr TBA Eligible,0.34463924050632944,0.5154384485659416,0.25960377578069993
15yr TBA Eligible,0.4162278481012658,0.5346666395438279,0.2780699116770706
15yr TBA Eligible,0.48781645569620213,0.5552517241479584,0.2970013462614327
15yr TBA Eligible,0.5594050632911394,0.5771904652091832,0.31533811917397214
15yr TBA Eligible,0.6309936708860757,0.6004009578945002,0.33225721991646484
15yr TBA Eligible,0.702582278481013,0.6247621286835521,0.3472057936484747
15yr TBA Eligible,0.7741708860759493,0.6501129165268787,0.35953367452904583
15yr TBA Eligible,0.8457594936708857,0.6762391589696028,0.36849220315468667
15yr TBA Eligible,0.9173481012658229,0.702872603993748,0.3733335677648233
15yr TBA Eligible,0.9889367088607592,0.7296920195390701,0.37334316539885926
15yr TBA Eligible,1.0605253164556965,0.756326838725729,0.3678779752914618
15yr TBA Eligible,1.1321139240506328,0.7823637635709908,0.35641015655037567
15yr TBA Eligible,1.2037025316455692,0.8073566524059984,0.3385741469301946
