Type_of_Security,model_name,nobs,rmse_cpr_pct,mae_cpr_pct
15yr TBA Eligible,M0,46150,0.4781886663620786,0.308838658266735
15yr TBA Eligible,M1,46150,0.43931619250299986,0.2877428206710039
20yr TBA Eligible,M0,31747,0.690101771833185,0.43910239483933033
20yr TBA Eligible,M1,31747,0.6483702359460877,0.4181578376592531
30yr TBA Eligible,M0,91891,0.6429929446298915,0.426997947917574
30yr TBA Eligible,M1,91891,0.6185154456709184,0.40977682201398336
