period,Date,Type_of_Security,spread,SMM_monthly,Cumulative_SMM,actual_cpr_pct,reported_cpr_pct,log_UPB,log_UPB_z,coupon,duration,Cohort_Current_UPB,n_raw_rows
2019-01,20190131,15yr TBA Eligible,-0.49187311905404707,0.00022123071906126834,0.0021159735766222475,0.2651540769593952,0.26508223244667894,29.151735241616816,0.7590988835325092,3.4141268809459535,46.71777447542716,4575491504744.54,610
2019-02,20190228,15yr TBA Eligible,-0.3833279100105016,0.00025534022672211575,0.00233567953819515,0.3059783271414429,0.3058955970700739,29.144452994028768,0.7557848225893987,3.4166720899894982,47.32739450780784,4542292670549.27,614
2019-03,20190329,15yr TBA Eligible,-0.29722242421885925,0.00028551880837403043,0.0028429778731878788,0.34208504325350386,0.3420178980464714,29.235509742431816,0.7972236242561344,3.42027757578114,48.01492466739652,4975314708018.7,699
2019-04,20190430,15yr TBA Eligible,-0.1783875707714535,0.000348285450552423,0.00350847446276429,0.41714287120718785,0.4170342152120641,29.274615041903253,0.8150199631034475,3.4266124292285465,48.52629498701487,5173730142635.681,754
2019-05,20190531,15yr TBA Eligible,-0.09976906303734934,0.00043081266593262516,0.004134430270461422,0.515751999454539,0.5154844107441597,29.173255373166707,0.7688924296318137,3.434230936962651,48.90141441795046,4675023816835.52,703
2019-06,20190628,15yr TBA Eligible,0.2014287954297047,0.00040806623923213335,0.004036189518127676,0.4885819614487197,0.48847452878421055,29.165486647971882,0.7653569787377538,3.438928795429705,49.29770551237448,4638845552973.89,715
2019-07,20190731,15yr TBA Eligible,0.2418353869474834,0.0004606895577087797,0.004653420453221585,0.5514288679263402,0.551163297851197,29.25618266967758,0.8066316181394242,3.444335386947483,49.57627576408011,5079239541089.66,798
2019-08,20190830,15yr TBA Eligible,0.36552270998980907,0.00046953934620985396,0.005063123895967914,0.5619944069397587,0.5616923116085902,29.249773033048662,0.803714671667253,3.4475227099898094,49.873878106207826,5046787575038.3,800
2019-09,20190930,15yr TBA Eligible,0.33405140077924633,0.0005054868194763371,0.004902975472486874,0.6049006099693055,0.604446910406465,29.14902368711682,0.757864888566683,3.449051400779247,50.07885015236569,4563101615686.29,728
2019-10,20191031,15yr TBA Eligible,0.3056659326147484,0.000522248336192834,0.0053807293373694335,0.6249010274839595,0.6243885555909575,29.243407940759386,0.8008179967739407,3.447665932614749,50.13009129906032,5014766323579.25,806
2019-11,20191129,15yr TBA Eligible,0.2850348082567975,0.0005162672738345379,0.005026073784712155,0.6177646417982574,0.6173047024806854,29.093558700717402,0.7326234582371026,3.4425348082567973,49.94057915221091,4316900141240.3296,679
