Type_of_Security,spread,pred_logit,pred_smm,pred_cpr_pct
30yr TBA Eligible,-2.0,-5.702304857286894,0.0033271554474654406,3.9203290376968125
30yr TBA Eligible,-1.9494949494949494,-5.678759850148606,0.0034061528632958276,4.011673809769912
30yr TBA Eligible,-1.898989898989899,-5.655082087355324,0.003487480708368797,4.10563008950483
30yr TBA Eligible,-1.8484848484848484,-5.631280467743835,0.003571184148992887,4.202242803270262
30yr TBA Eligible,-1.797979797979798,-5.607363890150926,0.0036573080687542932,4.301556158083475
30yr TBA Eligible,-1.7474747474747474,-5.5833412534133835,0.003745896953271748,4.4036134980139146
30yr TBA Eligible,-1.696969696969697,-5.559221456367996,0.003836994767994925,4.508457153350875
30yr TBA Eligible,-1.6464646464646464,-5.535013397851549,0.00393064482887025,4.616128282478238
30yr TBA Eligible,-1.595959595959596,-5.510725976700832,0.00402688966571303,4.7266667064236545
30yr TBA Eligible,-1.5454545454545454,-5.486368091752631,0.004125770878142007,4.840110736083314
30yr TBA Eligible,-1.4949494949494948,-5.461948641843732,0.004227328983951594,4.956496992154225
30yr TBA Eligible,-1.4444444444444444,-5.437476525810926,0.004331603259818736,5.075860217842898
30yr TBA Eligible,-1.393939393939394,-5.4129606424909955,0.004438631574265248,5.198233084457604
30yr TBA Eligible,-1.3434343434343434,-5.38840989072073,0.00454845021282279,5.323645990030979
30yr TBA Eligible,-1.2929292929292928,-5.3638331693369175,0.004661093695376776,5.452126851164674
30yr TBA Eligible,-1.2424242424242424,-5.339239377176344,0.004776594585696988,5.583700888331256
30yr TBA Eligible,-1.191919191919192,-5.314637413075797,0.004894983293196969,5.7183904049186935
30yr TBA Eligible,-1.1414141414141414,-5.290036175872063,0.005016287867001421,5.856214560350859
30yr TBA Eligible,-1.0909090909090908,-5.265444564401931,0.005140533782440515,5.997189137670311
30yr TBA Eligible,-1.0404040404040404,-5.2408714775021865,0.0052677437201329004,6.141326306024142
30yr TBA Eligible,-0.9898989898989898,-5.2163258140096165,0.005397937337864472,6.28863437854803
30yr TBA Eligible,-0.9393939393939394,-5.19181647276101,0.005531131035518428,6.439117566201991
30yr TBA Eligible,-0.8888888888888888,-5.167352352593153,0.005667337713363262,6.592775728166089
30yr TBA Eligible,-0.8383838383838385,-5.142942352342833,0.005806566524058984,6.749604119468011
30yr TBA Eligible,-0.7878787878787878,-5.118595370846838,0.005948822618798616,6.9095931365690255
30yr TBA Eligible,-0.7373737373737375,-5.094320306941953,0.0060941068880609175,7.072728061696099
30yr TBA Eligible,-0.6868686868686869,-5.070126059464967,0.006242415697511723,7.238988806766078
30yr TBA Eligible,-0.6363636363636365,-5.046021527252666,0.006393740619655185,7.408349657806035
30yr TBA Eligible,-0.5858585858585859,-5.02201560914184,0.006548068161901837,7.580779020830464
30yr TBA Eligible,-0.5353535353535355,-4.998117203969272,0.006705379491788289,7.756239170189572
30yr TBA Eligible,-0.48484848484848486,-4.974335210571752,0.006865650160152274,7.934686000457003
30yr TBA Eligible,-0.4343434343434345,-4.950678527786067,0.007028849823137747,8.116068782974196
30yr TBA Eligible,-0.38383838383838387,-4.9271560544490045,0.007194941963975987,8.300329928213468
30yr TBA Eligible,-0.33333333333333326,-4.90377668939735,0.0073638836155609086,8.48740475516685
30yr TBA Eligible,-0.2828282828282829,-4.880549331467892,0.0075356250849091646,8.67722126900098
30yr TBA Eligible,-0.23232323232323226,-4.857482879497417,0.007710109680667912,8.869699948257093
30yr TBA Eligible,-0.18181818181818188,-4.834586232322713,0.007887273444904423,9.064753542894689
30yr TBA Eligible,-0.13131313131313127,-4.811868288780567,0.008067044890482178,9.26228688450429
30yr TBA Eligible,-0.08080808080808088,-4.789337947707766,0.00824934474539674,9.46219671002726
30yr TBA Eligible,-0.030303030303030276,-4.767004107941097,0.008434085705510892,9.66437150032392
30yr TBA Eligible,0.020202020202020332,-4.744875668317348,0.008621172197192082,9.868691334937852
30yr TBA Eligible,0.0707070707070705,-4.722961527673306,0.008810500151415228,10.0750277643892
30yr TBA Eligible,0.1212121212121211,-4.701270584845757,0.009001956790949598,10.283243701317978
30yr TBA Eligible,0.1717171717171717,-4.679811738671488,0.009195420432299515,10.493193331771877
30yr TBA Eligible,0.22222222222222232,-4.658593887987289,0.009390760304114206,10.704722047899073
30yr TBA Eligible,0.2727272727272725,-4.637625931629945,0.009587836383821257,10.917666403265558
30yr TBA Eligible,0.3232323232323231,-4.616916768436244,0.00978649925427041,11.131854091967275
30yr TBA Eligible,0.3737373737373737,-4.596475297242973,0.009986589982199347,11.347103952643266
30yr TBA Eligible,0.4242424242424243,-4.576310416886918,0.010187940020349113,11.563225998435778
30yr TBA Eligible,0.4747474747474749,-4.556431026204868,0.010390371135064365,11.780021473860636
30yr TBA Eligible,0.5252525252525251,-4.53684602403361,0.010593695361211112,11.997282939471908
30yr TBA Eligible,0.5757575757575757,-4.517564309209931,0.010797714986231461,12.21479438511417
30yr TBA Eligible,0.6262626262626263,-4.498594780570616,0.011002222565131175,12.43233137245615
30yr TBA Eligible,0.6767676767676769,-4.479946336952456,0.011207000968160017,12.649661207398665
30yr TBA Eligible,0.7272727272727271,-4.461627877192236,0.011411823462897165,12.866543142839603
30yr TBA Eligible,0.7777777777777777,-4.4436483001267435,0.01161645383239282,13.082728612165928
30yr TBA Eligible,0.8282828282828283,-4.4260165045927655,0.01182064653094382,13.297961493727339
30yr TBA Eligible,0.8787878787878789,-4.40874138942709,0.012024146878993124,13.511978406424818
30yr TBA Eligible,0.9292929292929291,-4.3918318534665035,0.012226691298541618,13.724509036427456
30yr TBA Eligible,0.9797979797979797,-4.3752967955477935,0.012428007590345106,13.935276494909331
30yr TBA Eligible,1.0303030303030303,-4.359145114507746,0.012627815254039025,14.143997706576206
30yr TBA Eligible,1.0808080808080809,-4.343385709183151,0.012825825852189115,14.350383828633184
30yr TBA Eligible,1.131313131313131,-4.328027478410793,0.013021743419107263,14.55414069972395
30yr TBA Eligible,1.1818181818181817,-4.313079321027461,0.013215264915098189,14.754969318262813
30yr TBA Eligible,1.2323232323232323,-4.298550135869941,0.013406080726615683,14.952566349464014
30yr TBA Eligible,1.2828282828282829,-4.28444882177502,0.013593875212605775,15.146624660275155
30yr TBA Eligible,1.3333333333333335,-4.270784277579486,0.013778327297099815,15.33683388131557
30yr TBA Eligible,1.3838383838383836,-4.257565402120127,0.013959111107893654,15.52288099483321
30yr TBA Eligible,1.4343434343434343,-4.244801094233729,0.014135896660909664,15.704450947603199
30yr TBA Eligible,1.4848484848484849,-4.232500252757079,0.01430835058958857,15.881227287615207
30yr TBA Eligible,1.5353535353535355,-4.220671776526965,0.01447613691839718,16.052892823325315
30yr TBA Eligible,1.5858585858585856,-4.209324564380173,0.014638917879268918,16.219130304182695
30yr TBA Eligible,1.6363636363636362,-4.198467515153493,0.014796354769516169,16.379623121086894
30yr TBA Eligible,1.6868686868686869,-4.188109527683709,0.014948108849469552,16.534056025380885
30yr TBA Eligible,1.7373737373737375,-4.17825950080761,0.015093842277809412,16.682115864941572
30yr TBA Eligible,1.7878787878787876,-4.168926333361982,0.015233219082262406,16.823492335894752
30yr TBA Eligible,1.8383838383838382,-4.160118924183614,0.015365906163040217,16.957878748446753
30yr TBA Eligible,1.8888888888888888,-4.151846172109291,0.01549157432610286,17.084972805297472
30yr TBA Eligible,1.9393939393939394,-4.144116975975802,0.015609899343034734,17.204477391075812
30yr TBA Eligible,1.9898989898989896,-4.136940234619933,0.015720563034032,17.31610137121111
30yr TBA Eligible,2.0404040404040407,-4.130324846878473,0.01582325437021504,17.419560398633806
30yr TBA Eligible,2.090909090909091,-4.124279711588207,0.015917670591203276,17.51457772667123
30yr TBA Eligible,2.141414141414141,-4.118813727585923,0.0160035183336225,17.60088502647458
