Type_of_Security,model,formula,nobs,rsquared,adj_rsquared,aic,bic
15yr TBA Eligible,A,logit_smm ~ spread,51,0.8627867554287285,0.8599864851313557,-0.9897161338323173,2.873935131616334
15yr TBA Eligible,B,logit_smm ~ spread + duration,51,0.8647288658725925,0.8590925686172838,0.2832747776369189,6.078751675809896
15yr TBA Eligible,C,logit_smm ~ spread + I(spread**2) + I(spread**3) + log_UPB_z + duration,51,0.9252655773129906,0.9169617525699896,-23.97708393091041,-12.386130134564457
20yr TBA Eligible,A,logit_smm ~ spread,51,0.8244370746200864,0.8208541577755983,33.72897103452091,37.59262229996956
20yr TBA Eligible,B,logit_smm ~ spread + duration,51,0.8310819378345194,0.8240436852442911,33.76119877865719,39.55667567683017
20yr TBA Eligible,C,logit_smm ~ spread + I(spread**2) + I(spread**3) + log_UPB_z + duration,51,0.9281259078985861,0.9201398976650956,-3.8181936464192034,7.77276014992675
30yr TBA Eligible,A,logit_smm ~ spread,51,0.8282389849331301,0.8247336580950306,39.79518185733967,43.65883312278832
30yr TBA Eligible,B,logit_smm ~ spread + duration,51,0.8375358763262573,0.8307665378398513,38.957191826574444,44.75266872474742
30yr TBA Eligible,C,logit_smm ~ spread + I(spread**2) + I(spread**3) + log_UPB_z + duration,51,0.9231430104397365,0.9146033449330405,6.7831418697521855,18.37409566609814
