period,Type_of_Security,Date,Cohort_Current_UPB,n_raw_rows,SMM,Cumulative_SMM,CPR,Cumulative_CPR,market_rate,Cohort_WA_Current_Interest_Rate,duration,date_parsed,coupon,spread,spread2,spread3,log_UPB,log_UPB_z,SMM_monthly,smm_adj,logit_smm,actual_cpr_pct,reported_cpr_pct
2019-01,15yr TBA Eligible,20190131,4575491504744.54,610,0.00022123071906126834,0.0021159735766222475,0.26508223244667894,2.4982468877809305,3.9060000000000006,3.4141268809459535,46.71777447542716,2019-01-31,3.4141268809459535,-0.49187311905404707,0.24193916524795675,-0.119003371831845,29.151735241616816,0.7590988835325092,0.00022123071906126834,0.00022123071906126834,-8.41608316816523,0.2651540769593952,0.26508223244667894
2019-01,20yr TBA Eligible,20190131,1252904988411.99,428,0.00019643928878736045,0.0017585423027601523,0.23532855951668216,2.081959136807533,4.092000000000001,3.9485633824254425,48.03289626597809,2019-01-31,3.9485633824254425,-0.14343661757455894,0.02057406326123027,-0.0029510740439558695,27.85648596168332,0.16964693228811809,0.00019643928878736045,0.00019643928878736045,-8.534960678722518,0.23547262983559802,0.23532855951668216
2019-01,30yr TBA Eligible,20190131,25160851059522.113,1292,0.00020855116494819555,0.001945680888469057,0.24994182548805227,2.2984771706592837,4.4639999999999995,4.313974437422804,45.14304386270404,2019-01-31,4.313974437422804,-0.1500255625771958,0.02250766942660409,-0.0033767257680278285,30.8563103730839,1.5348299747225589,0.00020855116494819555,0.00020855116494819555,-8.475117578480196,0.24997453971485895,0.24994182548805227
2019-01,ARM,20190131,656715768954.5599,372,0.0005228317494992183,0.0046447565073798585,0.6245377286040986,5.333482411278079,4.464000000000001,3.5532978496748004,53.182285744147016,2019-01-31,3.5532978496748004,-0.9107021503252009,0.8293784066069447,-0.7553166983302333,27.21051714227405,-0.12432549984740068,0.0005228317494992183,0.0005228317494992183,-7.555727879861441,0.625597109838949,0.6245377286040986
2019-01,Other Fixed-Rate <= 15yr,20190131,10939919281.44,16,0.00031093749999999996,0.0022310625,0.37225,2.6315625000000002,3.906,3.541,78.0,2019-01-31,3.541,-0.3650000000000002,0.13322500000000015,-0.048627125000000083,23.115684255708274,-1.9878333762075622,0.00031093749999999996,0.00031093749999999996,-8.075607644760275,0.3724875588529408,0.37225
2019-01,Other Fixed-Rate > 15yr,20190131,636116040924.37,205,0.0002779720687951114,0.002516661528735666,0.33292386250590256,2.963320481933464,3.9059999999999997,4.3746926116966165,73.35454082568882,2019-01-31,4.3746926116966165,0.4686926116966168,0.21967276425899562,0.10295900159916388,27.178646837928948,-0.13882928176337078,0.0002779720687951114,0.0002779720687951114,-8.187711910571123,0.33305698287640073,0.33292386250590256
2019-01,RPL,20190131,125889865197.27002,141,0.0003315625594209427,0.0023932403859668917,0.3968122790848548,2.8133403411590985,4.464000000000001,4.5233690199747185,85.5443898363495,2019-01-31,4.5233690199747185,0.05936901997471722,0.0035246805327583722,0.00020925682895382873,25.55867327593419,-0.8760592434979683,0.0003315625594209427,0.0003315625594209427,-8.011362432402642,0.39715030998183076,0.3968122790848548
2019-01,Super-Conforming > 15yr,20190131,296725234776.03,132,0.00033296436868098753,0.0017416608168317196,0.3984610793051464,2.0579555337046678,3.9059999999999993,4.084451687114672,37.19078861834441,2019-01-31,4.084451687114672,0.17845168711467307,0.03184500463407318,0.00568279480312494,26.416072412116335,-0.48586748531859286,0.00033296436868098753,0.00033296436868098753,-8.007142054853212,0.39882634313385124,0.3984610793051464
2019-02,15yr TBA Eligible,20190228,4542292670549.27,614,0.00025534022672211575,0.00233567953819515,0.3058955970700739,2.75197000621509,3.8,3.4166720899894982,47.32739450780784,2019-02-28,3.4166720899894982,-0.3833279100105016,0.14694028659301922,-0.05632631295604618,29.144452994028768,0.7557848225893987,0.00025534022672211575,0.00025534022672211575,-8.272658306818435,0.3059783271414429,0.3058955970700739
2019-02,20yr TBA Eligible,20190228,1259186041299.21,446,0.00022397545843745232,0.00199943436364379,0.26834826238410614,2.361544098633567,3.9899999999999998,3.9556311623162976,48.7201931203646,2019-02-28,3.9556311623162976,-0.034368837683702136,0.001181217003728664,-4.0597055470379434e-05,27.86148662917661,0.1719226743071343,0.00022397545843745232,0.00022397545843745232,-8.40375007211383,0.2684397081469836,0.26834826238410614
